field_id,pH,Organic_Matter,N,P,K,Ca,Mg,S,Fe,Mn,Zn,Cu,B
1,6.78,2.08,28.3,20.6,173.6,1070.7,189.2,10.9,46.9,20.6,4.09,3.52,0.54
2,5.90,3.95,36.3,20.5,158.9,1123.8,100.6,18.1,57.9,26.8,3.78,4.87,1.00
3,5.69,2.29,45.4,30.1,180.7,1091.9,153.6,19.7,45.1,31.0,7.15,3.86,1.79
4,6.65,4.11,21.4,20.7,128.9,831.9,123.3,11.0,41.1,32.7,4.82,3.11,0.81
5,6.03,4.81,39.4,30.2,117.1,1091.7,116.3,13.8,69.6,32.8,5.78,4.05,1.76
6,7.05,2.69,21.0,22.9,126.8,884.4,194.3,18.8,42.6,33.1,4.98,4.74,1.19
7,6.03,2.74,36.8,21.6,158.5,1159.1,139.9,12.2,69.9,30.2,3.45,2.14,0.66
8,6.75,4.38,32.7,16.6,138.2,1198.4,152.9,19.7,64.4,20.2,6.60,4.05,1.31
9,6.03,3.92,23.3,25.9,145.4,1181.5,187.6,12.6,50.0,23.6,7.56,4.61,0.95
10,6.78,3.83,24.6,34.1,153.9,1111.5,153.0,10.0,43.0,20.4,7.65,4.64,1.75
11,6.12,2.17,46.3,38.7,108.6,994.4,106.9,17.6,60.6,22.6,5.38,3.65,0.90
12,7.24,3.27,26.4,28.5,173.0,880.5,131.2,20.0,56.0,28.8,5.59,2.36,0.84
13,6.18,3.76,26.9,20.5,107.1,1052.4,122.9,19.1,64.4,21.4,4.19,4.01,0.82
14,5.76,4.81,37.1,26.8,178.5,1123.0,119.0,11.0,47.2,28.5,5.34,4.19,1.51
15,7.47,2.30,32.1,23.5,186.2,899.5,119.0,14.5,46.9,25.6,4.25,4.77,1.16
16,7.22,3.65,21.5,40.0,183.6,1187.6,192.6,18.5,36.7,29.7,4.07,3.20,0.59
17,6.26,4.96,28.0,34.6,145.5,969.2,195.7,20.0,52.2,34.4,3.77,2.89,1.95
18,6.66,3.63,42.4,16.4,158.4,1001.1,185.3,11.6,68.4,21.6,3.93,3.79,1.51
19,5.97,2.36,46.7,21.2,159.5,1047.8,141.9,15.8,50.9,38.7,4.02,4.15,0.86
20,6.29,4.02,29.0,22.9,175.2,829.0,145.8,20.0,69.8,21.5,4.07,2.80,1.90
21,7.26,4.64,31.1,18.9,183.4,1081.4,161.2,19.9,56.2,20.2,7.09,2.90,1.50
22,7.38,2.40,23.5,17.7,155.3,908.9,160.5,17.2,38.1,32.7,4.32,3.47,1.86
23,7.19,2.28,32.7,21.9,100.4,1108.4,163.7,12.6,59.6,31.0,5.14,2.03,0.61
24,7.27,4.71,36.4,35.9,158.3,859.2,112.7,13.1,66.0,35.9,7.30,4.70,0.82
25,6.00,2.31,43.4,37.1,140.6,1048.3,115.5,19.3,64.6,39.5,7.05,4.64,0.54
26,6.97,3.00,47.9,35.1,186.4,1124.3,126.7,17.9,34.3,37.4,7.29,2.67,1.72
27,6.42,2.92,43.9,20.7,102.4,877.3,132.8,18.6,68.7,25.6,6.21,3.20,1.97
28,6.57,4.82,23.5,39.3,117.9,1185.0,126.5,11.1,47.4,34.6,4.57,3.82,1.27
29,6.27,3.73,27.6,32.7,100.2,1170.2,153.8,17.2,59.7,33.4,4.82,2.21,1.50
30,6.16,2.94,45.4,33.0,130.0,923.7,140.8,14.0,41.8,22.5,5.10,4.82,1.52
31,7.31,3.85,29.0,28.7,100.0,914.8,143.0,15.8,56.2,29.3,5.21,2.64,1.21
32,7.30,4.39,25.1,17.1,151.5,1053.2,133.5,18.2,60.0,33.5,4.12,2.60,0.54
33,5.99,3.43,45.5,16.8,141.4,1051.9,119.4,17.0,49.8,24.9,6.28,2.02,1.63
34,7.04,2.32,32.8,19.4,195.8,1007.2,105.0,12.5,63.9,29.1,7.01,4.00,1.98
35,6.69,4.85,46.7,30.3,171.9,1001.9,183.1,15.5,65.9,34.9,5.37,2.78,0.87
36,6.78,4.30,35.6,30.7,127.5,831.0,128.6,12.7,42.8,30.8,3.69,2.69,1.54
37,6.91,2.19,32.2,28.6,141.6,882.7,142.0,19.0,53.4,33.9,7.28,4.30,1.07
38,5.51,3.06,42.6,36.3,195.3,967.6,174.8,15.5,54.1,24.4,4.10,3.31,0.54
39,6.17,4.04,32.1,19.1,146.7,851.1,162.2,10.3,45.8,31.3,3.14,3.93,0.70
40,6.42,2.15,31.4,20.3,132.7,1104.5,137.9,17.5,63.3,25.0,3.41,2.06,1.31
41,7.50,3.05,39.5,34.5,165.2,1101.7,195.0,12.0,30.8,23.0,3.63,4.01,1.35
42,5.94,4.10,43.0,19.2,160.7,1099.2,111.5,18.2,68.6,22.2,3.13,2.94,1.52
43,7.42,3.19,41.5,16.9,169.1,1050.9,110.2,17.7,64.0,32.0,3.61,4.95,1.67
44,6.19,3.29,31.1,27.6,134.1,1139.8,182.2,11.1,68.4,32.7,7.14,4.12,1.15
45,6.97,4.90,28.1,35.2,153.8,993.4,143.6,17.3,40.7,37.0,7.15,2.26,1.82
46,5.99,3.39,38.3,24.5,102.9,1140.4,118.2,12.1,61.9,26.8,7.40,4.10,0.91
47,5.52,4.84,22.6,33.0,148.9,1103.3,169.1,16.5,49.6,35.9,3.47,2.66,1.54
48,6.11,3.74,34.2,28.3,142.6,1098.4,133.1,17.0,40.8,25.0,3.60,2.58,0.68
49,6.57,4.29,25.6,20.4,148.4,1089.8,197.7,15.2,41.3,22.0,3.97,2.68,0.77
50,5.53,3.60,28.2,39.4,155.3,1079.0,112.6,18.7,49.6,37.5,5.87,3.41,1.16
51,5.87,2.15,48.2,26.9,182.2,960.3,107.4,16.3,32.1,23.0,5.81,2.91,1.99
52,5.74,4.29,38.2,34.8,122.6,1009.0,145.1,14.4,64.4,39.8,4.53,3.86,1.41
53,6.98,4.84,26.2,20.3,166.0,862.8,117.4,10.8,30.1,29.0,5.97,2.87,0.85
54,6.91,4.11,33.6,32.2,192.4,1115.1,162.5,16.6,67.3,28.5,5.72,3.94,1.86
55,7.15,2.21,25.0,22.7,174.9,1027.7,128.9,11.2,57.5,34.0,7.71,3.50,1.24
56,5.66,2.12,33.0,23.1,125.0,836.5,196.2,18.4,53.0,39.0,8.00,4.02,0.90
57,5.58,4.27,34.1,31.3,191.6,872.6,158.5,16.3,49.7,21.8,4.74,3.00,1.51
58,7.22,2.99,40.8,22.2,194.5,1125.4,155.0,14.5,42.6,26.5,7.85,3.21,1.27
59,7.48,3.97,36.3,25.3,118.8,944.7,175.6,16.3,60.4,24.1,5.75,4.78,1.16
60,6.90,2.36,49.2,30.2,123.9,863.4,155.1,15.5,33.7,39.8,7.56,3.38,0.68
61,7.16,3.50,41.5,27.7,127.3,1133.9,198.0,12.4,52.1,27.7,7.61,3.52,1.82
62,7.23,2.83,43.7,25.4,193.4,1003.1,182.1,12.8,41.9,31.7,7.99,3.47,0.72
63,6.58,3.04,36.6,28.6,145.5,928.7,118.9,17.0,52.9,24.7,6.88,2.13,1.62
64,6.91,4.43,31.6,31.6,182.1,1192.3,149.5,10.4,50.1,31.8,7.35,4.62,1.16
65,6.55,3.37,41.7,25.2,165.5,861.7,146.9,19.7,43.5,33.9,6.25,4.56,1.78
66,7.22,3.14,29.5,33.0,175.9,1149.0,103.6,10.7,55.2,38.4,7.99,4.24,1.15
67,5.70,3.90,46.2,26.1,169.4,1161.4,104.6,18.0,41.7,27.5,3.73,3.59,1.35
68,7.09,2.51,22.4,36.8,162.0,896.3,191.3,11.4,48.4,25.1,4.28,2.03,1.71
69,7.30,4.03,24.7,26.0,134.6,1035.0,163.9,14.2,40.0,36.9,4.00,3.15,1.22
70,5.97,3.72,37.2,39.8,129.5,1191.2,165.8,12.7,52.6,33.7,6.72,2.15,1.41
